model,k_factor,history_size,rider,premium,strike,expected_price,spend,overrun,profit,pct_return,premium_over_price
trip-specific,1,2,1,23.113632706937,21.9675778632092,21.9675778632092,659.457612486463,14.8052468056002,8.30838590133676,1.25988171855508,3.50494592363378
trip-specific,1,2,2,69.8741402056362,70.263294521236,70.263294521236,2035.22109017259,3.39463435998317,66.479505845653,3.2664513043158,3.43324568239958
trip-specific,1,2,3,21.4589983284756,19.4214709516813,19.4214709516813,590.782768252058,15.4559118594168,6.00308646905883,1.01612416469426,3.63229929538503
trip-specific,1,2,4,22.1518297176956,25.4431015865831,25.4431015865831,849.678205394564,86.4396081332517,-64.2877784155561,-7.56613244960225,2.6070846088619
trip-specific,1,2,5,10.3884270306106,7.66913906057842,7.66913906057842,220.089694972749,5.15803725225412,5.23038977835646,2.37648099744247,4.72008788593981
trip-specific,1,2,6,19.7687151456579,23.486218908231,23.486218908231,674.727330033021,8.04335153175256,11.7253636139053,1.7377928967738,2.92988208209832
trip-specific,1,2,7,20.8423582121289,16.5298431369072,16.5298431369072,485.303579755982,8.44449501018364,12.3978632019453,2.55466139528151,4.29470522813963
trip-specific,1,2,8,29.5416606260421,33.8292832870094,33.8292832870094,987.669689188694,17.1186604929866,12.4230001330555,1.25780919157903,2.99104659679377
trip-specific,1,2,9,18.2140823176545,15.8144948970861,15.8144948970861,474.196460577112,18.2669559241285,-0.0528736064740052,-0.0111501478542578,3.84104138936156
trip-specific,1,2,10,18.0007268949533,17.014541370209,17.014541370209,541.652702235874,34.776810755683,-16.7760838607296,-3.0972030216927,3.32329679528019
trip-specific,1,2,11,21.1447668602046,32.2250333365207,32.2250333365207,972.306001805736,20.2866074829616,0.858159377242927,0.0882602159864468,2.17470290432592
trip-specific,1,2,12,17.7479141979128,15.1685328050822,15.1685328050822,493.592092977696,39.0338596496079,-21.2859454516951,-4.31245673391631,3.59566420337993
trip-specific,1,2,13,18.9726831204601,19.7405643424671,19.7405643424671,606.048313770194,24.0733590869457,-5.10067596648562,-0.841628604616452,3.13055620969095
trip-specific,1,2,14,26.8308671907238,27.2615559248579,27.2615559248579,826.337444600877,15.7498054691055,11.0810617216183,1.34098506536522,3.24696252917392
trip-specific,1,2,15,17.8345432747689,10.0690108908811,10.0690108908811,303.066209464454,8.98914975262818,8.84539352214073,2.91863402976246,5.88470199508028
trip-specific,1,2,16,41.9435622137513,33.7338104789234,33.7338104789234,983.353276729689,7.60216352438205,34.3413986893693,3.49227480113531,4.26536049722048
