model,k_factor,history_size,n_eligible_pairs,mean_pct_return,se_pct_return,mean_profit,max_loss,premium_over_price,win_rate
trip-specific,1,2,1001,0.00177061337885533,0.403033517332819,-0.536112802687024,-130.69636923596,3.74422206883829,0.65
trip-specific,1,4,361,-0.12138669984543,0.503222448416323,1.83810050438178,-193.653230473055,3.74330586037511,0.67
trip-specific,1,6,151,-0.391855740366567,0.496488411684106,-3.32053353806105,-210.491759559598,3.52839576141797,0.66
trip-specific,1,8,63,-0.305385138408706,0.592724516694843,-1.96098859050629,-258.273216865748,3.72626140342887,0.64
trip-specific,0.9,2,1001,0.230127105720913,0.568797072752898,0.783431760233324,-155.194622480363,10.8755233105584,0.56
trip-specific,0.9,4,361,-0.1704471511379,0.631811422147798,2.36109018948957,-205.37623355184,10.7898906179008,0.51
trip-specific,0.9,6,151,-0.551823371062812,0.602635971355502,-4.37063124716912,-225.129236282413,10.5785239948993,0.55
trip-specific,0.9,8,63,-0.0841429233966001,0.744270237518131,0.415553096666818,-278.295727874821,10.8793060312511,0.55
population,1,2,1001,2.15370163885545,0.460482274476751,10.8616127632109,-86.7853339687891,5.39859154124917,0.77
population,1,4,361,1.71195441413334,0.597850366825524,9.62090832134547,-199.518015036523,5.27664485937782,0.78
population,1,6,151,2.07025360373497,0.527510696555474,10.5724800927167,-157.213276890246,5.38373459294953,0.83
population,1,8,63,2.13189230804651,0.63174883985491,10.9093984601979,-238.664820258087,5.38443863646578,0.79
population,0.9,2,1001,3.57177418725767,0.730635525168968,18.9184069094194,-110.507213704949,12.1552615983247,0.71
population,0.9,4,361,2.78960771687299,0.832117921575052,15.3367965602558,-213.690649562372,11.9536253472896,0.68
population,0.9,6,151,3.09447245186566,0.763696550705467,16.169483689857,-177.719779117503,12.012667153412,0.73
population,0.9,8,63,3.93770629977048,0.884377338300031,22.8480651185619,-252.117454987653,12.2141275308137,0.75
