"","trip","real","normal_5","normal_50","normal_95","normal_F","normal_95F","t_5","t_5F","frequency"
"1",23,923,1027.5224308153,969.629276473136,1273.89825478278,1046.37566975477,1105.72836218271,1014.55282595866,1075.90086219177,1001.06553718554
"2",35,938,1034.83997430867,1184.83180871117,1397.93642773685,1025.85450737088,1164.6590818628,1007.50826570556,1064.23278785763,1255.48671213886
"3",38,799,975.856108119599,829.998928651519,923.374308329549,872.223063545424,872.458371220005,848.433787841803,820.239985016992,1042.04830511862
"4",41,1021.07500004768,1066.20592907063,1139.33223042506,1089.24930145623,1114.55912616029,1629.83727342983,1244.26789557319,1112.47766147477,916.914084608301
"5",51,951,840.923104328868,1074.21989335646,999.304311412148,1025.01813042613,867.976688597203,955.155371346718,1019.3463345869,1058.48221222337
"6",57,913.34299993515,651.972164063816,828.450336341304,766.234504350571,687.412050973962,986.354087737028,785.1460469472,709.638821047593,1531.60978297933
"7",68,798.976999998093,776.766993513659,797.724921254031,810.656297214395,793.153248026619,927.144271427967,1002.49594897656,833.046297949804,1740.74839395009
"8",80,1727,1815.20280560077,1841.35989249279,1874.88078752805,1848.259889421,2467.85273527884,1946.88883927642,2285.6888581251,209.690861159127
"9",86,349,336.274047330796,265.928899322132,205.87975519512,254.300013872738,492.241425051214,241.821900542048,260.6172718188,721.43350634419
"10",87,1169,1226.66987449195,1091.55254369975,2179.9066517841,1060.71274270395,1606.31241002455,1104.72477604148,1174.52686543033,1117.43706102558
"11",95,753.996000051498,767.044809303246,754.65264376978,772.175167981685,792.709197013305,877.554599292817,858.190117056919,871.227097930942,768.452634020656
"12",111,1598.9960000515,1767.34370608138,1457.20836653997,1319.95044207099,1376.04698538189,1620.13430232501,1470.17429470946,1930.21231878539,1348.14612002893
"13",118,1760.0150001049,1381.40626662955,1591.20691410063,1638.23221594211,1466.21111374952,1393.47503193711,1521.19695659806,1855.34824858255,1465.16397230881
"14",120,1859,1927.75654814911,2095.51257154038,2313.68112241142,1881.32556902589,2265.09667993769,1790.59181316349,1874.19174313408,995.163200811363
"15",131,1213,1746.22414485673,1743.73256017848,1153.30954174705,1383.94281884339,1392.6741206755,1369.6562637179,1396.99711704421,1796.17683142278
"16",133,880,1080.36028607029,1184.00201293792,1044.7069286758,1196.56862399777,1110.4090336217,914.028721669671,946.560444192939,734.096013820399
"17",137,1912.90100002289,2282.25388514031,2261.69299497152,2246.33885956177,2181.10453592145,2265.1131345462,2442.83068743636,2150.32916331301,1792.75005907445
"18",138,967.905999898911,1060.0541053799,1270.6471474849,1184.83166515503,1048.07400433928,2320.67929337073,1294.0283307418,1244.62566259377,2054.47172146123
"19",141,1190.99699997902,1294.82007201642,1738.54557805801,1113.55795868274,1936.75829997171,1203.72753397922,1666.9009472849,1398.21063738663,2002.85844126311
