model,strike,h,lambda,u_star,u_star_pooled,shift,shift_pooled,u_star_se,u_star_lo,u_star_hi,p_no_break_even,shift_se,shift_lo,shift_hi,u_star_pooled_lo,u_star_pooled_hi,p_no_break_even_pooled,shift_pooled_lo,shift_pooled_hi
population,0.9,8,0,,,,,0.0206912462111584,0.919676892388003,0.988144252451204,0.988,0,0,0,,,1,,
population,0.9,8,0.25,,,,,0.0255831914056388,0.901089752268157,0.985315965945759,0.988,0.00513076748623205,-0.0185871401198468,-0.00254315898799205,,,1,,
population,0.9,8,0.5,,,,,0.0324622236028706,0.875453203905541,0.983114264819515,0.988,0.0121074215874912,-0.0442236884824625,-0.00456071961677772,,,1,,
population,0.9,8,0.75,,,,,0.0371988511071439,0.853100867941974,0.975864040611846,0.988,0.0168756865083962,-0.06657602444603,-0.0118991748467545,,,1,,
population,0.9,8,0.9,,,,,0.039757300342095,0.838766916133756,0.969517897905045,0.988,0.0193102312786602,-0.0809099762542476,-0.0186263545461592,,,1,,
population,0.9,8,1,,,,,0.0419567571292375,0.82890769861338,0.967221726155606,0.988,0.0217742585510706,-0.0907691937746241,-0.0209225262955984,,,1,,
population,1,8,0,,,,,0.0642054990532026,0.742990525444424,0.99688320786863,0.933,0,0,0,0.800626763690801,0.994674925217059,0.983,0,0
population,1,8,0.25,,,,,0.075292159659002,0.694356803369534,0.995735185926853,0.933,0.0116101224744343,-0.043818592531262,-0.00114802194177722,0.763683110662387,0.992954331372152,0.983,-0.0375161488749486,-0.00127419865598599
population,1,8,0.5,,,,,0.0845214699552971,0.66570108491209,0.994951577128374,0.933,0.021446962775985,-0.0725174916527729,-0.00181627891509908,0.73279904773905,0.992448298108268,0.983,-0.0693813856986389,-0.00199608407945875
population,1,8,0.75,,,,,0.0947310388652226,0.622309971908604,0.993186455541183,0.933,0.0321478958405042,-0.121228075850134,-0.00373708048583051,0.700022707958099,0.990106114997622,0.983,-0.101340731505985,-0.00456881021943695
population,1,8,0.9,,,,,0.10292378736197,0.59940695524159,0.991872437528377,0.933,0.0406936824695608,-0.144838454021249,-0.0044308579913876,0.670256921703219,0.98746392657063,0.983,-0.133330525270182,-0.00662946211054115
population,1,8,1,,,,,0.107726631965728,0.58078057514064,0.99169366652933,0.933,0.0454016152907718,-0.162390785818194,-0.00467310264731388,0.654393440438582,0.987298933783532,0.983,-0.150608077283144,-0.0068609663535628
trip-specific,0.9,8,0,0.914805423718234,,0,,0.057510301196201,0.789366215640921,0.994013032632015,0.153,0,0,0,0.845812937103953,0.997165131967867,0.571,0,0
trip-specific,0.9,8,0.25,0.893782581112245,,-0.0210228426059891,,0.0672213287295965,0.751382120248932,0.991923841897645,0.153,0.0102259260640457,-0.0416045933843334,-0.00203909391837763,0.813208016381257,0.996547999163045,0.571,-0.0322517950667752,-0.000781014704877224
trip-specific,0.9,8,0.5,0.862204260759974,,-0.0526011629582607,,0.0765433890567449,0.71678411035486,0.988975560730273,0.153,0.0204638611646488,-0.0767555291467702,-0.00450731125481694,0.778145106917577,0.995599293209417,0.571,-0.0659976935265191,-0.00167399305035053
trip-specific,0.9,8,0.75,0.827985947996604,,-0.08681947572163,,0.085809412482282,0.666488243618194,0.982467729264469,0.153,0.0301425431996106,-0.124088888982575,-0.0115333829482426,0.739785101260071,0.992448654046938,0.571,-0.105110802182569,-0.00463401426657756
trip-specific,0.9,8,0.9,0.797319978909139,,-0.117485444809095,,0.0921142926124062,0.636068248832563,0.973983322277864,0.153,0.0373267524110026,-0.156925600826603,-0.0196417372866245,0.706408521448877,0.989904987189159,0.571,-0.135914412432586,-0.00738376546929419
trip-specific,0.9,8,1,0.777944947827275,,-0.136860475890959,,0.0955446264795262,0.615092391207177,0.967106837956362,0.153,0.0412650838278514,-0.178805708467646,-0.026720908846419,0.685119000097895,0.987852376721887,0.571,-0.157505226567573,-0.00934469698678949
trip-specific,1,8,0,0.760088917635595,0.9149283793156,0,0,0.119161657998477,0.51899730641449,0.968185013314139,0.089,0,0,0,0.627418390627904,0.992587912097533,0.334,0,0
trip-specific,1,8,0.25,0.685625245084028,0.880978348276006,-0.0744636725515673,-0.0339500310395935,0.126089102350858,0.469955232238855,0.951601208175449,0.089,0.0162463450728642,-0.08453697376667,-0.0194572045261424,0.570856149833873,0.987946842183526,0.334,-0.0798384214167408,-0.00447132733746648
trip-specific,1,8,0.5,0.614914929754952,0.834168510993276,-0.145173987880644,-0.0807598683223236,0.135483783517714,0.406609188817107,0.924836610303027,0.089,0.0286733386260188,-0.166968164084111,-0.0434398728490009,0.496092487307247,0.984446402490301,0.334,-0.153968161741889,-0.00878351594420734
trip-specific,1,8,0.75,0.527809946701767,0.785950483119661,-0.232278970933828,-0.128977896195939,0.140013257108738,0.340880501152756,0.890306334504997,0.089,0.0411957240987467,-0.254949180499991,-0.0771431134911682,0.432417930578175,0.976038337042181,0.334,-0.237004227094809,-0.0177583502215452
trip-specific,1,8,0.9,0.48069617291416,0.745678114686048,-0.279392744721435,-0.169250264629552,0.139407468504868,0.308145073075943,0.866741144612742,0.089,0.0473922819796896,-0.309111210198754,-0.0984165615029592,0.390016320567162,0.971421622372671,0.334,-0.286434491911934,-0.0211537390762514
trip-specific,1,8,1,0.437888119936152,0.720214945703016,-0.322200797699443,-0.194713433612584,0.140287009735564,0.284667314066296,0.86133535944331,0.089,0.0564115223406799,-0.357100634346731,-0.105608039669226,0.361583423502778,0.971276459229908,0.334,-0.332113112060031,-0.0215847444662295
