model,strike,h,u0,lambda_star,lambda_star_pooled,lambda_star_se,lambda_star_lo,lambda_star_hi,p_never_loses,lambda_star_pooled_lo,lambda_star_pooled_hi,p_never_loses_pooled
population,0.9,8,0.6,,,,,,1,,,1
population,0.9,8,0.7,,,,,,1,,,1
population,0.9,8,0.8,,,,,,1,,,1
population,0.9,8,0.9,,,0.316766280166877,0.216463330594058,0.960065738176502,0.994,,,1
population,0.9,8,1,,,0,0,0,0.988,,,1
population,1,8,0.6,,,0.0992768132091626,0.739738110100453,0.925450838401191,0.997,,,1
population,1,8,0.7,,,0.351781458318331,0.0999501559248545,0.960561655308251,0.993,0.638081732624166,0.986768269481073,0.997
population,1,8,0.8,,,0.357305813691284,0,0.944748681563249,0.977,0.00809798681981733,0.73724062451483,0.995
population,1,8,0.9,,,0.286774483752387,0,0.905865014928049,0.955,0,0.981656970033655,0.99
population,1,8,1,,,0,0,0,0.933,0,0,0.983
trip-specific,0.9,8,0.6,,,0.150326410568627,0.543184364794255,0.996122901168222,0.986,0.996872027951705,0.996872027951705,0.999
trip-specific,0.9,8,0.7,,,0.196343658096472,0.196337207206673,0.991938865234516,0.805,0.437195173104182,0.9842752825967,0.986
trip-specific,0.9,8,0.8,0.888073247973635,,0.298857830155741,0,0.982229814897543,0.479,0,0.988005818635115,0.88
trip-specific,0.9,8,0.9,0.185190856747684,,0.297268516984108,0,0.93022384926598,0.254,0,0.950484615455704,0.69
trip-specific,0.9,8,1,0,,0,0,0,0.153,0,0,0.571
trip-specific,1,8,0.6,0.544601135338178,,0.297186545476019,0,0.951253432481674,0.222,0.0527417728172906,0.982759054421053,0.642
trip-specific,1,8,0.7,0.206661046676034,,0.277537248469877,0,0.869546781343626,0.159,0,0.935425123456503,0.533
trip-specific,1,8,0.8,0,0.690241863331619,0.205073074523604,0,0.729678214570487,0.128,0,0.904396923262396,0.445
trip-specific,1,8,0.9,0,0.133425219879671,0.127762290711375,0,0.508335206154643,0.102,0,0.680299653108637,0.38
trip-specific,1,8,1,0,0,0,0,0,0.089,0,0,0.334
